province,shipment_lines,orders,customers,quantity,cbm_total,my_phuoc_orders,vinh_loc_orders,my_phuoc_quantity,vinh_loc_quantity,my_phuoc_quantity_share,vinh_loc_quantity_share,dominant_warehouse,rank_by_orders,rank_by_quantity
Hồ Chí Minh,6690,1402,87,65425.27638888889,3548.7060755534003,927,475,60222.0,5203.2763888888885,0.9204699364514637,0.07953006354853635,My Phuoc,1,1
Bình Dương,2298,661,60,42999.83154761905,2562.0254951439097,315,346,38208.0,4791.831547619047,0.8885616204725719,0.1114383795274281,My Phuoc,2,2
Đồng Nai,1354,434,15,6054.083333333333,281.38406796947027,409,25,5879.0,175.08333333333334,0.9710801249845147,0.02891987501548542,My Phuoc,3,9
Đà Nẵng,1308,296,14,23887.479166666668,1413.7262660250335,230,66,22975.0,912.4791666666666,0.9618009434859092,0.0381990565140908,My Phuoc,4,3
Hà Nội,837,280,19,13142.666666666666,822.4895296015001,145,135,10950.0,2192.6666666666665,0.8331642487572284,0.16683575124277164,My Phuoc,5,5
Cần Thơ,1091,257,10,19426.875,1160.53608698675,207,50,18658.0,768.875,0.9604220956793103,0.039577904320689763,My Phuoc,6,4
Khánh Hòa,836,199,9,12054.5,728.852250271,156,43,11597.0,457.5,0.9620473682027458,0.03795263179725414,My Phuoc,7,8
Tiền Giang,494,166,8,12380.583333333334,774.4612576916667,124,42,11673.0,707.5833333333334,0.9428473348724817,0.057152665127518223,My Phuoc,8,6
Bà Rịa - Vũng Tàu,530,148,11,12180.958333333334,727.4485638780001,118,30,11794.0,386.9583333333333,0.9682325213875481,0.031767478612451806,My Phuoc,9,7
Đắk Lắk,443,141,7,4276.583333333333,234.28998515933336,95,46,3713.0,563.5833333333334,0.8682164500477406,0.1317835499522594,My Phuoc,10,14
An Giang,515,128,14,3366.5,182.59330756733334,96,32,3266.0,100.5,0.9701470369820289,0.029852963017971187,My Phuoc,11,15
Bắc Ninh,353,98,4,2847.3125,132.980106525,8,90,101.0,2746.3125,0.0354720460082973,0.9645279539917027,Vinh Loc,12,19
Quảng Ngãi,207,94,5,5404.166666666667,276.71816154333334,93,1,5359.0,45.166666666666664,0.9916422513492675,0.00835774865073246,My Phuoc,13,11
Hải Phòng,198,91,5,5384.458333333333,367.15051784166667,60,31,5279.0,105.45833333333333,0.9804143097030806,0.019585690296919374,My Phuoc,14,12
Quảng Nam,256,73,6,5841.75,291.38351373333336,67,6,5827.0,14.75,0.997475071682287,0.002524928317713014,My Phuoc,16,10
